,content
10,"https://www.youtube.com/watch?v=5Lp6MGINBIs

YOUTUBE.COM
TRÒN 1 NĂM NGÀY THẦY GIÁO, TÙ NH N LƯƠNG T M ĐÀO QUANG THỰC QUA ĐỜI TRONG NHÀ TÙ CỘNG SẢN"
11,"https://www.youtube.com/watch?v=0b5RsM8Ob_A

YOUTUBE.COM
KTV tối 25/11: Danh sách lãnh đạo CSVN trình độ cấp 2, mua bằng TS giả được cất nhắc ghế quan trọng?"
12,"https://www.facebook.com/permalink.php?story_fbid=1013840505706567&id=594908210933134

Tổ Buôn
9 tháng 11, 2020 lúc 04:50 ·

Đây là cách một thầy giáo dạy học sinh sao??"
13,"https://www.youtube.com/watch?v=0wTwAmx2axc

YOUTUBE.COM
Cải cách cái đầu quan chức trước khi cải cách sách giáo khoa"
14,"https://www.facebook.com/groups/279979292160546/permalink/1667316703426791/

Kien Trung đã chia sẻ một bài viết với nhóm: Hoa Mai Nguyen.
12 tháng 10, 2020 lúc 19:08 ·

Đố vui với bài toán lớp 2.
Có 5 cô gái xinh đẹp dạo bước trên đường phố, bỗng nhiên có 2 cô gái bước lên xe buýt. Hỏi người lái xe buýt tên là gì và bao nhiêu tuổi?

Minh Hoàng
12 tháng 10, 2020 lúc 17:40 ·

Mình có 15 triệu tiền hồ.
Cho con bồ 10 triệu.
Hỏi Nhạ ngọng bao nhiêu tuổi..?"
15,"ĐÁNG KHEN CHÁU GÁI, DÙ CÓ HƠI BỊ HIẾU CHIẾN. NHƯNG TUỔI TRẺ PHẢI THẾ THÍ ĐẤT NƯỚC MỚI LỚN LÊN ĐƯỢC!
https://www.facebook.com/hohaibd/posts/172202237801898

Hồ Hải
17 tháng 9, 2020 lúc 03:39 ·

ĐÁNG KHEN CHÁU GÁI, DÙ CÓ HƠI BỊ HIẾU CHIẾN. NHƯNG TUỔI TRẺ PHẢI THẾ THÍ ĐẤT NƯỚC MỚI LỚN LÊN ĐƯỢC! 😀😲😛🥰🌹"
16,"https://www.youtube.com/watch?v=c3rdztxh2co

YOUTUBE.COM
🔵 20Oct09 - Ôi sách giáo khoa, sách giáo khoa!"
17,"https://www.youtube.com/watch?v=z9EROXHx-jg

YOUTUBE.COM
KTV trưa 12/10: Nhìn lại nền Giáo dục VNCH, vì sao là sự tiếc nuối vô bờ bến?"
18,"https://www.youtube.com/watch?v=w2lvBG9ykiM

YOUTUBE.COM
KTV Live trưa 26/9: Lửa ĐH13 lan đến ĐH Tôn Đức Thắng & những bê bối ở Tổng liên đoàn LĐ?"
19,"Thông báo tin buồn từ thầy giáo Nguyễn Tiến Dân.
Hội giáo chức Chu Văn An vô cùng thương tiếc và xin chia buồn với thầy giáo Nguyễn Tiến Dân cùng toàn thể gia quyến!

https://www.facebook.com/photo.php?fbid=272378087345477&set=a.151281312788489&type=3&theater

Nguyễn Tiến Dân
21 tháng 6, 2020 lúc 10:31 ·

Vô cùng thương tiếc báo tin: Mẹ tôi, bà Đặng Thị Thất, đã qua đời."
20,"KHÔNG BIẾT NHỤC SAO CÒN TỰ HÀO?

Đảng csVn đưa vào sách giáo khoa dạy cho các thế hệ trẻ rằng: ""đất nước ta giàu và đẹp. Có rừng vàng, biển bạc, khoáng sản, dầu mỏ....bao la"". Rồi đảng vỗ ngực tự hào vì thếKhác hệ của họ đã bán đổ, bán tháo, bán sạch sành sanh các tài nguyên mà tổ tiên đã để lại ấy. Lý do tự hào của họ đưa ra là: thế hệ cháu con sẽ không còn dựa vào tài nguyên thiên nhiên nữa, mà con đường duy nhất muốn tồn tại là phải học?

Ôi! Ăn hết phần của con cháu mà tự hào sao mấy ông cộng sản? Trên đời này có loài gì dành ăn với con cháu mà vỗ ngực tự hào hả trời? Thử quan sát xem loài Ong, loài Kiến còn biết tìm kiếm tích trữ lương thực về cho những ổ trứng chưa nở của chúng nữa là. Xem ra lương tri, trách nhiệm của đảng csVn còn không bằng loài côn trùng, chớ đừng nói là quang vinh, vĩ đại!

Lẽ ra, đảng các người phải biết nhục với con cháu vì thế hệ mình dành ăn hết phần của chúng. Cớ sao lại còn tự hào?

https://www.facebook.com/photo.php?fbid=2731116013665694&set=a.287641388013181&type=3&theater

Ngô Trường An
26 tháng 5, 2020 lúc 15:27 ·

KHÔNG BIẾT NHỤC SAO CÒN TỰ HÀO?

Đảng csVn đưa vào sách giáo khoa dạy cho các thế hệ trẻ rằng: ""đất nước ta giàu và đẹp. Có rừng vàng, biển bạc, khoáng sản, dầu mỏ....bao la"". Rồi đảng vỗ ngực tự hào vì thếKhác hệ của họ đã bán đổ, bán tháo, bán sạch sành sanh các tài nguyên mà tổ tiên đã để lại ấy. Lý do tự hào của họ đưa ra là: thế hệ cháu con sẽ không còn dựa vào tài nguyên thiên nhiên nữa, mà con đường duy nhất muốn tồn tại là phải học?

Ôi! Ăn hết phần của con cháu mà tự hào sao mấy ông cộng sản? Trên đời này có loài gì dành ăn với con cháu mà vỗ ngực tự hào hả trời? Thử quan sát xem loài Ong, loài Kiến còn biết tìm kiếm tích trữ lương thực về cho những ổ trứng chưa nở của chúng nữa là. Xem ra lương tri, trách nhiệm của đảng csVn còn không bằng loài côn trùng, chớ đừng nói là quang vinh, vĩ đại!

Lẽ ra, đảng các người phải biết nhục với con cháu vì thế hệ mình dành ăn hết phần của chúng. Cớ sao lại còn tự hào?"
21,https://www.facebook.com/photo.php?fbid=2731116013665694&set=a.287641388013181&type=3&theater
22,https://www.facebook.com/photo.php?fbid=3075743385825994&set=a.1361799337220416&type=3&theater
23,"https://www.facebook.com/photo.php?fbid=392475768017408&set=a.109379059660415&type=3&theater

Quang Vũ
14 tháng 5, 2019 lúc 13:52 ·

TÀI THẾ NÀY THÌ ĐẤT NƯỚC SẼ RA SAO"
24,"Tình trạng bạo lực học đường ở VN đáng báo động và nhức nhối lương tri
https://www.facebook.com/watch/?v=3680292805332383"
25,"https://www.youtube.com/watch?v=MzKDqxqWZkQ&list=RDCMUCI8U_NB23FbKPly8gIEdLmA&index=27&pbjreload=10

YOUTUBE.COM
Âm mưu phá hoại tiếng Việt của nước “lạ” bằng ông giáo sư rất quen Hồ Ngọc Đại?"
26,"https://www.facebook.com/nhatnam.9615/posts/2871516639527954

Trịnh Xuân Thuỷ
15 tháng 12, 2019 lúc 13:52 ·

TÔI LÀ MỘT NGƯỜI CHA, TÔI TUYÊN BỐ: NẾU TRƯỜNG BẮT CON TÔI HỌC TIẾNG TÀU TÔI SẼ BUỘC CON TÔI NGHỈ HỌC !"
27,"https://www.facebook.com/nguyentrongmai55/posts/1184396571745879

BAOMOI.COM
Hơn 2.200 sinh viên Trường ĐH Công nghiệp TP.HCM tự ý bỏ học

Nguyễn Trọng Mai
16 tháng 12, 2019 lúc 18:28 ·

Đến CNXH rồi"
28,"https://www.facebook.com/quangbeboi/posts/569284473650988

TUOITRE.VN
Hàng ngàn người tiễn biệt cố Thứ trưởng Bộ GD-ĐT Lê Hải An

Trần Đăng Quang
15 tháng 12, 2019 lúc 07:10 ·

Võ An Đôn
AI ĐÃ GIẾT THỨ TRƯỞNG LÊ HẢI AN ?

Thứ trưởng Lê Hải An 48 tuổi, được Đảng cơ cấu thay Bộ trưởng giáo dục Phùng Xuân Nhạ, đã chết đột tử một cách lãng xẹt (rơi từ tầng 8 trụ sở Bộ giáo dục xuống đất,Khác nhưng không bị trầy xước và không chảy máu).

Sau 5 ngày đột tử, các cơ quan bảo vệ pháp luật vẫn chưa tìm ra hung thủ giết người, vội vàng cho hỏa táng thi thể nạn nhân, cho dù gia đình van xin được chôn cất theo tập quán.

Thứ trưởng Lê Hải An chết một cách đầy bí ấn, để lại sự nghi ngờ trong nội bộ Đảng và dư luận ngoài xã hội.

Đốt xác là cách xóa dấu vết tội phạm nhanh nhất, chỉ có các tổ chức tội phạm Mafia mới sử dụng biện pháp này."
29,"Lý thuyết cai trị dân bằng bạo lực ""cách mạng"" mà nhà cầm quyền CSVN vẫn kiên định, vẫn áp đặt chương trình giáo dục thì làm sao ở VN có được một nền giáo dục nhân văn. Mọi biểu hiện mang tính phổ biến trong xãKhác hội nói chung và trong ngành giáo dục nói riêng nó là kết quả của việc thực hiện chủ nghĩa Mác - Lê.

https://vtv.vn/trong-nuoc/su-sup-do-cua-giao-duc-dong-nghia-voi-su-sup-do-cua-mot-quoc-gia-2019103111453623.htm

VTV.VN
Sự sụp đổ của giáo dục đồng nghĩa với sự sụp đổ của một quốc gia"
30,"https://vtv.vn/trong-nuoc/su-sup-do-cua-giao-duc-dong-nghia-voi-su-sup-do-cua-mot-quoc-gia-2019103111453623.htm

VTV.VN
Sự sụp đổ của giáo dục đồng nghĩa với sự sụp đổ của một quốc gia"
31,"https://www.voatiengviet.com/a/thu-truong-bo-gddt-le-hai-an-tu-vong-do-nga-tu-tang-8/5127670.html

VOATIENGVIET.COM
Thứ trưởng Bộ GD&ĐT Lê Hải An tử vong do ‘ngã’ từ tầng 8"
32,"Nghi Vấn Thứ trưởng Bộ Giáo Dục Đào Tạo - Lê Hải An ra đi đầy uẩn khúc và khuất tất! Liệu cái chết của ông có được điều tra làm rõ???

Kháchttps://chinhtrivietnam.net/thu-truong-ra-di-day-uan-khuc-cung-giong-so-phan-quyet-dinh-ky-luat-can-bo-trong-duong-day-chay-diem-bo-gd-ma-chinh-ong-da-ky.html?fbclid=IwAR3N5lkXXUa5sYwyKOo2StSJKIBvoFj6s6oKU3z0dexrYyEnsaH_4HgGWTI

CHINHTRIVIETNAM.NET
Thứ trưởng ra đi đầy uẩn khúc, cũng giống số phận quyết định kỷ luật cán bộ trong đường dây chạy điểm Bộ GD mà chính ông đã ký"
33,"Sáng nay ngày 8/10/2019, đại diện Hội Giáo chức Chu Văn An và các văn sĩ thân hữu đến thăm, bảy tỏ sự ngưỡng mộ và ủng hộ tinh thần đấu tranh chống quan tham cướp đất của cụ Lê Đình Kình người đại diện cho nhânKhác dân xã Đồng Tâm cũng như tinh thần đoàn kết một lòng, sẵn sàng chấp nhận mọi hy sinh của người dân Đồng Tâm để bảo vệ quyền lợi chính đáng của mình.."
34,"https://www.youtube.com/watch?v=KqgFv5cQVvw

YOUTUBE.COM
Việt Nam và mốt những cái 'Nhất'"
35,https://www.facebook.com/photo.php?fbid=362727707984571&set=a.361174198139922&type=3&theater
36,Video ca sỉ Lộc Vàng hát và con trai đệm ghi ta tiễn biệt Nhà giáo Phạm Toàn về nơi suối vàng.
37,"Sáng nay 28/6/2019, Hội GCCVA cùng bạn bè thân hữu và rất đông những thành phần trong XH đã đến Nhà tang lễ quận Cầu Giấy - Hà Nội viếng tiễn biệt GS, nhà văn, nhà thơ, nhà dịch giả, nhà giáo lớn Phạm Toàn, bày tỏ lòng kính trọng, thương tiếc và chia buồn cùng toàn thể gia quyến của ông."
38,"https://www.facebook.com/photo.php?fbid=724259331368003&set=a.359645271162746&type=3&theater

Mạc Van Trang
26 tháng 6, 2019 lúc 06:15 ·

TIN BUỒN

NHÀ GIÁO PHẠM TOÀN (Bút danh Nhà văn Châu Diên)
đã qua đời lúc 6h42' ngày 26/6/2019 (24/5 Kỷ Hợi) tại nhà riêng, hưởng thọ 88 tuổi.

Tang lễ Nhà giáo Phạm Toàn tổ chức vào ngày 28/6/2019 (thứ sáu),Khác tại Nhà tang lễ Cầu Giấy (phố Trần Vĩ, Mai Dịch).

Lễ viếng và Truy điệu từ 8h đến 10h.
An táng cùng ngày tại Đài hoá thân Hoàn Vũ (Văn Điển).

Gia đình nhà giáo Pham Toàn xin miễn chấp điếu (không nhận vòng hoa và tiền phúng viếng).

TM gia đình
Trưởng nam

Phạm Anh Tuấn"
39,"https://www.facebook.com/phuong.dangbich/posts/1842025042565957

VIETNAMNET.VN
Phó bí thư Sơn La: Không ai gắp điểm bỏ tay con mình, gian lận thì nhận đi - VietNamNet

Đặng Bích Phượng
31 tháng 5, 2019 lúc 14:54 ·

Đúng rồi - anh Triệu Tài Vinh và đồng bọn nhận đi."
40,"LẬP CÔNG DÂNG BÁC: ĐẤT NƯỚC TOÀN CHÁU NGOAN BÁC HỒ*
Đại biểu Quốc hội: Nền giáo dục bây giờ tìm một học sinh yếu kém khó như 'mò kim đáy biển'

(VTC News) - Từ vụ một lớp học có tới 42/43 em đạt loại giỏi, mộtKhác em loại khá, đại biểu đến từ Cà Mau nhận định, việc tìm được học sinh yếu kém khó như ""mò kim đáy biển"".

https://www.facebook.com/ethongluan.org/posts/713898159039712?__xts__[0]=68.ARBGDAzY1ILPEKJIXpAg9ZBff7B7C7cufnadLdTcwL3gntJunHSVhNNQLOex0ayFBdSjtlP5MLp1gRgv-UkvzD8OpOoENgAK3D5VV70NhuyL9yta9_h4pAIL_9HsL6PSv-QB46udRcQUDH-WVlKJ2HdqwcK53lxyQm9MzF-g2ygJMUHm9wX3tx021zgvKA8GCOVrex5FEx2vHy3nMB7iqCoIGwfBIOpsMCXrjgU9zo4XtPmVXnte8hwubRIC2-f7mE1Q0hV2hflx0dUrT3O7cubKOVcBk31ZHjf-5lO4TZEyihvAOO3Gdr72blGlHJqKZr6Ln3jQS0BOBTza1E7ud1k&__tn__=-R

VTC.VN
Đại biểu Quốc hội: Nền giáo dục bây giờ tìm một học sinh yếu kém khó như 'mò kim đáy biển' - VTC News

THÔNG LUẬN
31 tháng 5, 2019 lúc 04:49 ·

LẬP CÔNG DÂNG BÁC: ĐẤT NƯỚC TOÀN CHÁU NGOAN BÁC HỒ*
Đại biểu Quốc hội: Nền giáo dục bây giờ tìm một học sinh yếu kém khó như 'mò kim đáy biển'

(VTC News) - Từ vụ một lớp học có tới 42/43 em đạt loại giỏi, mộtKhác em loại khá, đại biểu đến từ Cà Mau nhận định, việc tìm được học sinh yếu kém khó như ""mò kim đáy biển"".
https://vtc.vn/dai-bieu-quoc-hoi-nen-giao-duc-bay-gio-tim-mot-hoc-sinh-yeu-kem-kho-nhu-mo-kim-day-bien-d477728.html?fbclid=IwAR1A6wzV0gAyUbE_Hh72tNTXv5TFdn_LF74M0xBzUwsczTmY7ciVj7vh7mU"
41,"https://www.facebook.com/nguoihoanluong4991/posts/1721874961291969

Thông Chương
30 tháng 5, 2019 lúc 12:20 ·

Đây là những hình ảnh thầy Nguyễn Năng Tĩnh bị đánh hồi tháng 11 năm 2015 do công an cộng sản đánh đập.

Nhớ, đã nhiều lần thầy bị nhà cầm quyền dùng côn đồ để bắt cóc, đánh đập, gây rối khi thầy đang tá túc taiKhác nhà trọ cũ, và nay thì chúng đã có lệnh tạm giữ để điều tra thầy về tội chubag nhà nước chỉ vì thầy bênh vực cho kẻ yếu thế, lên tiếng về các vấn đề chủ quyền biển đảo, ô nhiệm môi trường....."
42,"https://www.facebook.com/anh.toi.14224/posts/140492187100211

THANHNIEN.VN
‘Lớp học 100% loại giỏi là 1 nền giáo dục nói dối’"
43,https://www.facebook.com/nguoihoanluong4991/posts/1721874961291969
44,"Giám đốc sở giáo dục đào tạo Sơn La đáng cách chức, khởi tố, bỏ tù chưa???

https://baomoi.com/gia-the-khung-cua-8-thi-sinh-duoc-pho-gd-so-gd-son-la-nang-diem/c/30852029.epi?fbclid=IwAR0TwIJkpC6n4Xk5WAeYHpjXIBqmhr-br0WK3pUU2x6RlOSatdYk97Qsouk

BAOMOI.COM
Gia thế 'khủng' của 8 thí sinh được Phó GĐ Sở GD Sơn La nâng điểm"
45,"https://www.facebook.com/photo.php?fbid=302358910709245&set=a.122036568741481&type=3&theater

Võ Văn Dũng
26 tháng 5, 2019 lúc 06:11 ·

Hơ hơ hơ"
46,https://www.facebook.com/permalink.php?story_fbid=893279877680120&id=100009943482698
47,"CHIA TAY BỤC GIẢNG!

Mải mê sự nghiệp trồng người
Chia tay bục giảng vẫn cười vô tư
Từ nay mình sống thảnh thơi
Non xanh nước biếc một trời TỰ DO!

Bến Tắm - TP Chí Linh, tháng 5 năm 2019
Đ.H.T

https://www.facebook.com/photo.php?fbid=2261059054148804&set=a.1423913487863369&type=3&theater

Tấn Đỗ Huy
23 tháng 5, 2019 lúc 04:23 ·

CHIA TAY BỤC GIẢNG!

Mải mê sự nghiệp trồng người
Chia tay bục giảng vẫn cười vô tư
Từ nay mình sống thảnh thơi
Non xanh nước biếc một trời TỰ DO!

Bến Tắm - TP Chí Linh, tháng 5 năm 2019
Đ.H.T"
