,content
10,"Đặng Bích Phượng
Nhà em nghĩ cái niềm tin ấy nó chưa chết đâu, vì vẫn nhiều người dại khờ lắm. Nhưng từ thiện mà qua địa phương, là việc làm ngu nhất trên đời.
Ăn chặn tiền từ thiện khốn nạn nhất, và cũng dễ nhất, nên nhiều kẻ ham - vừa được tiếng lại vừa có miếng. Hễ ai đòi minh bạch là lại bị cho là khốn nạn.

Đặng Bích Phượng

Nhà em nghĩ cái niềm tin ấy nó chưa chết đâu, vì vẫn nhiều người dại khờ lắm. Nhưng từ thiện mà qua địa phương, là việc làm ngu nhất trên đời.

Ăn chặn tiền từ thiện khốn nạn nhất, và cũng dễ nhất, nên nhiều kẻ ham - vừa được tiếng lại vừa có miếng. Hễ ai đòi minh bạch là lại bị cho là khốn nạn.

Võ Đắc Danh
6 hrs ·
NIỀM TIN BỊ GIẾT CHẾT
Năm 1997, cơn bão Linda quét qua các tỉnh ven biển miền tây, hàng ngàn người chết. Có một anh VK Mỹ liên lạc với tôi nhờ tôi làm cầu nối để anh mang số tiền khá lớn về quê tôi cứu trợ.… More Tôi đưa anh tới gặp chị phó chủ tịch tỉnh. Chị nói hiện nay,việc cứu trợ có nhiều vấn đề phức tạp, để việc cứu trợ đúng đối tượng và mang lại hiệu quả thiết thực, uỷ ban tỉnh sẽ đứng ra nhận tiền của các nhà hảo tâm và lập kế hoạch phân phát đến tận tay cho bà con. Thế nhưng, sau đó tôi phát hiện ra có nhiều doanh nghiệp được cấp vốn thông qua hình thức gọi là hỗ trợ thiệt hại do bão Linda. Tôi thất vọng. Hơn một năm sau, ông chủ tịch mặt trận tỉnh Bạc Liêu bị tù vì tham ô quỹ từ… More



Võ Đắc Danh
6 hrs ·
NIỀM TIN BỊ GIẾT CHẾT
Năm 1997, cơn bão Linda quét qua các tỉnh ven biển miền tây, hàng ngàn người chết. Có một anh VK Mỹ liên lạc với tôi nhờ tôi làm cầu nối để anh mang số tiền khá lớn về quê tôi cứu trợ.… More Tôi đưa anh tới gặp chị phó chủ tịch tỉnh. Chị nói hiện nay,việc cứu trợ có nhiều vấn đề phức tạp, để việc cứu trợ đúng đối tượng và mang lại hiệu quả thiết thực, uỷ ban tỉnh sẽ đứng ra nhận tiền của các nhà hảo tâm và lập kế hoạch phân phát đến tận tay cho bà con. Thế nhưng, sau đó tôi phát hiện ra có nhiều doanh nghiệp được cấp vốn thông qua hình thức gọi là hỗ trợ thiệt hại do bão Linda. Tôi thất vọng. Hơn một năm sau, ông chủ tịch mặt trận tỉnh Bạc Liêu bị tù vì tham ô quỹ từ… More

Võ Đắc Danh
6 hrs ·

NIỀM TIN BỊ GIẾT CHẾT
Năm 1997, cơn bão Linda quét qua các tỉnh ven biển miền tây, hàng ngàn người chết. Có một anh VK Mỹ liên lạc với tôi nhờ tôi làm cầu nối để anh mang số tiền khá lớn về quê tôi cứu trợ. Tôi đưa anh tới gặp chị phó chủ tịch tỉnh. Chị nói hiện nay,việc cứu trợ có nhiều vấn đề phức tạp, để việc cứu trợ đúng đối tượng và mang lại hiệu quả thiết thực, uỷ ban tỉnh sẽ đứng ra nhận tiền của các nhà hảo tâm và lập kế hoạch phân phát đến tận tay cho bà con. Thế nhưng, sau đó tôi phát hiện ra có nhiều doanh nghiệp được cấp vốn thông qua hình thức gọi là hỗ trợ thiệt hại do bão Linda. Tôi thất vọng. Hơn một năm sau, ông chủ tịch mặt trận tỉnh Bạc Liêu bị tù vì tham ô quỹ từ… More"
11,"

Tan Tran
May 22 at 10:45 AM ·
CỘNG SẢN LẠI XUẤT HIỆN THÊM TRÙM MÚA MỎ !



Tan Tran
May 22 at 10:45 AM ·
CỘNG SẢN LẠI XUẤT HIỆN THÊM TRÙM MÚA MỎ !

Tan Tran
May 22 at 10:45 AM ·

CỘNG SẢN LẠI XUẤT HIỆN THÊM TRÙM MÚA MỎ !"
12,"

Play Video
Thủy Nguyễn is with Thủy Trần and 6 others.
May 15 at 2:29 PM ·
Chiến lược tấn công CỜ VÀNG của việt cộng lại thất bại !

Play Video

Thủy Nguyễn is with Thủy Trần and 6 others.
May 15 at 2:29 PM ·
Chiến lược tấn công CỜ VÀNG của việt cộng lại thất bại !

Thủy Nguyễn is with Thủy Trần and 6 others.
May 15 at 2:29 PM ·

Chiến lược tấn công CỜ VÀNG của việt cộng lại thất bại !"
13,"

Le Thien
May 23 at 12:45 AM ·
Chuyện hài cuối tuần 😅😅
Mọi người cứ nói người dân trong nước VN không được “bầu”
Hãy xem cán bộ nhà nước rất ư là nhiệt tình luôn, mang thùng bầu phiếu đến tận giường bệnh cho người dân bầu cơ mà😯🙄
Một nhà nươc CSVN toàn là làm những chuyện hài 🤣🤣🤣
Ảnh- Le Anh



Le Thien
May 23 at 12:45 AM ·
Chuyện hài cuối tuần 😅😅
Mọi người cứ nói người dân trong nước VN không được “bầu”
Hãy xem cán bộ nhà nước rất ư là nhiệt tình luôn, mang thùng bầu phiếu đến tận giường bệnh cho người dân bầu cơ mà😯🙄
Một nhà nươc CSVN toàn là làm những chuyện hài 🤣🤣🤣
Ảnh- Le Anh

Le Thien
May 23 at 12:45 AM ·

Chuyện hài cuối tuần 😅😅

Mọi người cứ nói người dân trong nước VN không được “bầu”
Hãy xem cán bộ nhà nước rất ư là nhiệt tình luôn, mang thùng bầu phiếu đến tận giường bệnh cho người dân bầu cơ mà😯🙄
Một nhà nươc CSVN toàn là làm những chuyện hài 🤣🤣🤣
Ảnh- Le Anh"
14,"

Tien Vu Duc
Yesterday at 5:17 AM ·
HỒNG VÂN NÓI. TAO LỪA ĐẤY AI BẮT MUA.NGU THÌ KÊU AI.
Đúng là con lưu manh mất dạy



Tien Vu Duc
Yesterday at 5:17 AM ·
HỒNG VÂN NÓI. TAO LỪA ĐẤY AI BẮT MUA.NGU THÌ KÊU AI.
Đúng là con lưu manh mất dạy

Tien Vu Duc
Yesterday at 5:17 AM ·

HỒNG VÂN NÓI. TAO LỪA ĐẤY AI BẮT MUA.NGU THÌ KÊU AI.

Đúng là con lưu manh mất dạy"
15,"

Quang Trung‎Lisa Pham Khai Dân Trí
May 23 at 4:44 PM ·
AI TÀN PHÁ VN.?



Quang Trung‎Lisa Pham Khai Dân Trí
May 23 at 4:44 PM ·
AI TÀN PHÁ VN.?

Quang Trung‎Lisa Pham Khai Dân Trí
May 23 at 4:44 PM ·

AI TÀN PHÁ VN.?"
16,"

Cao Quyền
Yesterday at 7:01 AM ·
Hoài Linh có chủ tâm ăn chặn 14 tỷ từ thiện hay không??? Không biết, thế nhưng giữ số tiền lơn của thiên hạ hơn 6 tháng trời mà cứ im ỉm không nói câu nào để minh bạch thì rõ ràng chính là Hoài Linh đang coi… More thường những người đã gửi tấm lòng mình nhờ HL chuyển giúp cho bà con vùng lũ.
Đợi khi bà Hằng bả tố ra chuyện rồi mới lên tiếng giải trình, chứ không thì chắc im luôn ha.



Cao Quyền
Yesterday at 7:01 AM ·
Hoài Linh có chủ tâm ăn chặn 14 tỷ từ thiện hay không??? Không biết, thế nhưng giữ số tiền lơn của thiên hạ hơn 6 tháng trời mà cứ im ỉm không nói câu nào để minh bạch thì rõ ràng chính là Hoài Linh đang coi… More thường những người đã gửi tấm lòng mình nhờ HL chuyển giúp cho bà con vùng lũ.
Đợi khi bà Hằng bả tố ra chuyện rồi mới lên tiếng giải trình, chứ không thì chắc im luôn ha.

Cao Quyền
Yesterday at 7:01 AM ·

Hoài Linh có chủ tâm ăn chặn 14 tỷ từ thiện hay không??? Không biết, thế nhưng giữ số tiền lơn của thiên hạ hơn 6 tháng trời mà cứ im ỉm không nói câu nào để minh bạch thì rõ ràng chính là Hoài Linh đang coi thường những người đã gửi tấm lòng mình nhờ HL chuyển giúp cho bà con vùng lũ.

Đợi khi bà Hằng bả tố ra chuyện rồi mới lên tiếng giải trình, chứ không thì chắc im luôn ha."
17,"

Mai Trung Chinh
5 hrs ·
Lỗi tại trò hay tại cô ra đề không sát...
Các thày cô vẫn bị bệnh từ chương, rập khuôn vc. Ra đề vậy thì nó viết vậy là phải rồi.
Và tả bà ngoại thì nhất thiết lưng phải còng, răng phải rụng cơ...



Mai Trung Chinh
5 hrs ·
Lỗi tại trò hay tại cô ra đề không sát...
Các thày cô vẫn bị bệnh từ chương, rập khuôn vc. Ra đề vậy thì nó viết vậy là phải rồi.
Và tả bà ngoại thì nhất thiết lưng phải còng, răng phải rụng cơ...

Mai Trung Chinh
5 hrs ·

Lỗi tại trò hay tại cô ra đề không sát...
Các thày cô vẫn bị bệnh từ chương, rập khuôn vc. Ra đề vậy thì nó viết vậy là phải rồi.
Và tả bà ngoại thì nhất thiết lưng phải còng, răng phải rụng cơ..."
18,"

RemyMartin Huynh
1 hr ·
Copy Facebook Nguyễn Đức Hùng ...
(Facebook Nguyễn Daisy ...)
CỘNG SẢN LÀ ÔNG TỔ CỦA TỘI PHẠM...
Xin chào bạn!
Đâu đâu trên Thế Giới cũng có tội phạm cả. Có nước nhiều tội phạm, có nước ít tội phạm. Riêng chỉ có Việt Nam là vô cùng đặc biệt : BỘ MÁY NHÀ NƯỚC LÀ MỘT Ổ TỘI PHẠM. Xâm hại tình dục trẻ em cũng có tên của cán bộ, đảng viên.
Đánh… More bài, sử dụng thuốc lắc, buôn lậu ma túy, buôn thuốc giả, buôn bằng cấp giả, mua điểm, chạy án…cũng có cán bộ, đảng viên.
Và cán bộ côn đồ đánh dân lại càng thường xuyên dễ thấy hơn nữa. Đặc biệt, tham nhũng và bán nước thì Đảng Cộng sản Việt Nam là TRÙM rồi. Khó: “bắt chước” được lắm! Bạn tìm ở đâu ra một Đảng phái giỏi cả hai việc đó chứ? Miệng nói:… More

RemyMartin Huynh
1 hr ·

Copy Facebook Nguyễn Đức Hùng ...
(Facebook Nguyễn Daisy ...)
CỘNG SẢN LÀ ÔNG TỔ CỦA TỘI PHẠM...
Xin chào bạn!
Đâu đâu trên Thế Giới cũng có tội phạm cả. Có nước nhiều tội phạm, có nước ít tội phạm. Riêng chỉ có Việt Nam là vô cùng đặc biệt : BỘ MÁY NHÀ NƯỚC LÀ MỘT Ổ TỘI PHẠM. Xâm hại tình dục trẻ em cũng có tên của cán bộ, đảng viên.
Đánh… More bài, sử dụng thuốc lắc, buôn lậu ma túy, buôn thuốc giả, buôn bằng cấp giả, mua điểm, chạy án…cũng có cán bộ, đảng viên.
Và cán bộ côn đồ đánh dân lại càng thường xuyên dễ thấy hơn nữa. Đặc biệt, tham nhũng và bán nước thì Đảng Cộng sản Việt Nam là TRÙM rồi. Khó: “bắt chước” được lắm! Bạn tìm ở đâu ra một Đảng phái giỏi cả hai việc đó chứ? Miệng nói:… More

Copy Facebook Nguyễn Đức Hùng ...
(Facebook Nguyễn Daisy ...)

CỘNG SẢN LÀ ÔNG TỔ CỦA TỘI PHẠM...
Xin chào bạn!
Đâu đâu trên Thế Giới cũng có tội phạm cả. Có nước nhiều tội phạm, có nước ít tội phạm. Riêng chỉ có Việt Nam là vô cùng đặc biệt : BỘ MÁY NHÀ NƯỚC LÀ MỘT Ổ TỘI PHẠM. Xâm hại tình dục trẻ em cũng có tên của cán bộ, đảng viên.

Đánh bài, sử dụng thuốc lắc, buôn lậu ma túy, buôn thuốc giả, buôn bằng cấp giả, mua điểm, chạy án…cũng có cán bộ, đảng viên.
Và cán bộ côn đồ đánh dân lại càng thường xuyên dễ thấy hơn nữa. Đặc biệt, tham nhũng và bán nước thì Đảng Cộng sản Việt Nam là TRÙM rồi. Khó: “bắt chước” được lắm! Bạn tìm ở đâu ra một Đảng phái giỏi cả hai việc đó chứ? Miệng nói:… More"
19,"Đặng Bích Phượng
Cái này gọi là bịt mồm thành công. Mọi thông tin về cúm Tàu ở Tàu, hoàn toàn biến mất.

Đặng Bích Phượng

Cái này gọi là bịt mồm thành công. Mọi thông tin về cúm Tàu ở Tàu, hoàn toàn biến mất.

Nguyễn Thông is with Nguyễn Thông Cào.
6 hrs ·
Chơi với bạn vàng
Người ta hầu như không để ý điều: gần như cả thế giới đang khốn khổ bởi dịch cúm tàu Vũ Hán bùng phát trở lại rất mạnh và phức tạp, có thể lan rộng mọi nơi, có thể kéo dài không biết đến bao giờ, thậm chí hủy diệt một phần nhân loại, thì ở Trung Quốc lần này khá yên ắng. Không có mấy thông tin về tái dịch ở Trung Quốc, kể cả trên… More những hệ thông tin thời sự, phổ cập nhất thế giới, như BBC, VOA chẳng hạn.
Người Tàu kinh nghiệm đầy mình về chất độc, ai đọc kỹ sử và văn của họ từng lưu truyền hàng nghìn năm nay đều biết điều này. Chế ra chất độc và làm ra thuốc giải độc, không ai bằng họ. Vũ khí sinh học cũng là một kiểu thuốc độc.
Để sơ sẩy bùng phát vi rút đợt đầu, họ còn… More

Nguyễn Thông is with Nguyễn Thông Cào.
6 hrs ·

Chơi với bạn vàng
Người ta hầu như không để ý điều: gần như cả thế giới đang khốn khổ bởi dịch cúm tàu Vũ Hán bùng phát trở lại rất mạnh và phức tạp, có thể lan rộng mọi nơi, có thể kéo dài không biết đến bao giờ, thậm chí hủy diệt một phần nhân loại, thì ở Trung Quốc lần này khá yên ắng. Không có mấy thông tin về tái dịch ở Trung Quốc, kể cả trên… More những hệ thông tin thời sự, phổ cập nhất thế giới, như BBC, VOA chẳng hạn.
Người Tàu kinh nghiệm đầy mình về chất độc, ai đọc kỹ sử và văn của họ từng lưu truyền hàng nghìn năm nay đều biết điều này. Chế ra chất độc và làm ra thuốc giải độc, không ai bằng họ. Vũ khí sinh học cũng là một kiểu thuốc độc.
Để sơ sẩy bùng phát vi rút đợt đầu, họ còn… More

Chơi với bạn vàng
Người ta hầu như không để ý điều: gần như cả thế giới đang khốn khổ bởi dịch cúm tàu Vũ Hán bùng phát trở lại rất mạnh và phức tạp, có thể lan rộng mọi nơi, có thể kéo dài không biết đến bao giờ, thậm chí hủy diệt một phần nhân loại, thì ở Trung Quốc lần này khá yên ắng. Không có mấy thông tin về tái dịch ở Trung Quốc, kể cả trên những hệ thông tin thời sự, phổ cập nhất thế giới, như BBC, VOA chẳng hạn.
Người Tàu kinh nghiệm đầy mình về chất độc, ai đọc kỹ sử và văn của họ từng lưu truyền hàng nghìn năm nay đều biết điều này. Chế ra chất độc và làm ra thuốc giải độc, không ai bằng họ. Vũ khí sinh học cũng là một kiểu thuốc độc.
Để sơ sẩy bùng phát vi rút đợt đầu, họ còn… More"
20,"

Hòn Đá‎CỘI NGUỒN DÂN TỘC VN
May 22 at 12:12 PM ·
Thằng anh núi liền núi sông liền sông không cho
Để thằng Mẽo đế xa xa tặng cho
Đúng là ""Bơ thừa sữa ông Thọ""



Hòn Đá‎CỘI NGUỒN DÂN TỘC VN
May 22 at 12:12 PM ·
Thằng anh núi liền núi sông liền sông không cho
Để thằng Mẽo đế xa xa tặng cho
Đúng là ""Bơ thừa sữa ông Thọ""

Hòn Đá‎CỘI NGUỒN DÂN TỘC VN
May 22 at 12:12 PM ·

Thằng anh núi liền núi sông liền sông không cho
Để thằng Mẽo đế xa xa tặng cho
Đúng là ""Bơ thừa sữa ông Thọ"""
