,content
15,"LIÊN QUAN ĐẾN CÁC LINH MỤC ""ỨNG CỬ VÀO QUỐC HỘI, HỘI ĐỒNG NHÂN DÂN CÁC CẤP""

Gửi đến quý vị và các bạn chia sẻ của cha Giuse Maria Lê Quốc Thăng, nguyên Tổng Thư Ký Ủy Ban Công lý và Hòa bình trực thuộc Hội Đồng Giám Mục Việt Nam liên quan đến những linh mục “đang là đại biểu các tổ chức nhà nước và ứng cử viên Quốc Hội, HĐND các cấp” tại Việt Nam. Mời các bạn đọc và suy gẫm, cầu nguyện cho các ngài và cho Giáo hội Việt Nam.
...............

Giờ đang thời kỳ nước CHXHCN Việt Nam bước vào cuộc bầu bán đại biểu Quốc Hội, nhân dân các cấp. Đó là sinh hoạt cao trọng và bình thường của một Quốc gia có chủ quyền và độc lập.

Tuy nhiên, điều tôi muốn nói ở đây không phải ở cách tổ chức, sự vận hành bộ…"
16,"TÂM THƯ CỦA LINH MỤC LÊ QUỐC THĂNG

(Thư ký Ủy Ban Công Lý và Hòa Bình thuộc Hội Đồng Giám Mục Viẹt Nam) GỬI NGƯỜI CỘNG SẢN

Tôi là một Linh mục Công Giáo, tôi không theo thuyết định mệnh, càng không chủ trương báo oán.

Tôi chỉ theo đường lối của Chúa tôi, Đấng giàu lòng Thương xót. Tôi kêu gọi những anh chị em đồng bào của tôi đang theo chủ nghĩa vô thần, những người là đảng viên cộng sản, những người nhờ đó mà nắm giữ mọi quyền bính trên tổ quốc Việt Nam này từ Tổng Bí Thư đến cán bộ xã, những anh em dân phòng.

Hãy ngừng và từ bỏ ngay chủ thuyết vô luân này.

Trả cho dân quyền làm người, quyền sở hữu và quyền công dân. Nếu không chạy không kịp đâu. Quí vị biết rõ sự bấp bênh của thể…"
17,"CUỘC GỌI THÁNG 5/2021!

Hôm qua, ngày 14.5.2021, chồng em là thầy giáo Nguyễn Năng Tĩnh đã gọi điện về. May tháng này anh được gọi sớm không thì em đợi quằn quại luôn. Nghe thì nghịch lý, vợ chồng mà mỗi tháng được nói chuyện với nhau 10 phút đã hạnh phúc, mừng rơi nước mắt. Thật là bất công mọi người ạ. Vợ chồng mong cả tháng mà chưa kịp nói gì đã hết giờ. Giờ em lại mong cuộc gọi tháng 6. Y như người yêu thời chiến ấy!

Anh nói từ tháng 5 này không được thăm gặp cho đến khi có thông báo mới. Dẫu em đã đoán biết là như vậy trước khi anh gọi nhưng nghe xong vẫn buồn lắm ạ! Kế hoạch tháng 5 em đi thăm chồng lại bị cô Vy tranh phần. Bao giờ cô ấy mới biến khỏi thế gian này chứ!?

Anh bảo, sức…"
18,"""TÔI SẼ KHÔNG BỎ CUỘC""

Trịnh Bá Phương là một nông dân ở Dương Nội, Hà Nội. Gia đình anh bị mất đi ruộng đất vào các dự án bất động sản với giá đền bù rẻ mạt.

Thay vì cam chịu sự bất công, anh đã đứng lên cùng những nông dân khác để yêu cầu đền bù thỏa đáng, và xử lý những cán bộ tham nhũng.

Dù bị đe họa, đánh đập và vô vàn các hình thức sách nhiễu khác, Trịnh Bá Phương vẫn can đảm tiếp tục giúp những nông dân khắp nơi đòi lẽ phải.

Chính vì lên tiếng chống lại bất công, Trịnh Bá Phương cùng em trai và mẹ của mình là Trịnh Bá Tư và Cấn Thị Thêu đã bị bắt giam vào ngày 25 tháng 6 năm 2020. Họ bị cáo buộc ""tuyên truyền chống nhà nước"".

Trước khi bị bắt, Trịnh Bá Phương đã nói ""tôi sẽ không bỏ cuộc dù có bị bắt đi tù đi chăng nữa"".

Nguồn: Amnesty International"
19,"TRỰC TIẾP: THÁNH LỄ CHÚA NHẬT VII PHỤC SINH TẠI GIÁO XỨ THÁI HÀ

Truyền Thông Thái Hà was live.
May 15 at 11:57 PM ·

TRỰC TIẾP: THÁNH LỄ CHÚA NHẬT VII PHỤC SINH

THÁI HÀ: 20 GIỜ - NGÀY 15.05.2021

Youtube: https://youtu.be/BY14OPhpudk"
20,"CÂU CHUYỆN ĐỒNG TÂM

YOUTUBE.COM
Câu Chuyện Đồng Tâm / ST&TB: Việt Khang"
21,"ỦY BAN ĐOÀN KẾT CHỐNG PHÁ PHONG 117 THÁNH TỬ ĐẠO VIỆT NAM

Trong vụ phong Thánh, Tòa Thánh đã thực hiện một cách hết sức nghiêm túc các qui trình đã được Bộ phong Thánh qui định, chứ không phải là một sáng kiến mới của Tòa Thánh nhằm chống lại chế độ cộng sản Việt Nam như ông Nguyễn Quang Huy, Trưởng ban Tôn giáo Chính phủ thời đó, đã nói trong một Văn thư gửi Hội đồng Giám mục Việt Nam:

1. Trước hết, Thánh bộ phong Thánh của Giáo hội đã chấp nhận các Thỉnh Nguyện thư xin phong Thánh cho 117 Thánh Tử Đạo Việt Nam: Thỉnh Nguyện thư của Hội đồng Giám mục Việt Nam (16/11/1985), của Dòng Đaminh (28/12/1985), của Hội Thừa sai Paris (2/2/1986), của Hội đồng Giám mục Phi (13/5/1986) và của Hội đồng…"
22,"LỖI TẠI...THẰNG GHÉP ẢNH...

Phải công nhận tinh thần “bắt chước”, tiếp thu kỹ thuật của người cộng sản không hề tệ. Tuy nhiên trình độ tay nghề thì vẫn chưa thể nào ra khỏi biên giới nước CHXHCN VN.

Dư luận đang xôn xao bức ảnh bị cho là “ảnh ghép” được đăng trên báo Bắc Ninh Điện Tử ngày 11/05. Bức ảnh được bài báo chú thích là “Đại tá, PGS.TS Diêm Đăng Thanh, Giám đốc Bệnh viện Quân y 110 chỉ đạo xét nghiệm SARS-CoV-2”.

Nhân vật chính trong bức ảnh, ông Diêm Đăng Thanh đã lên tiếng khẳng định với báo Dân Trí rằng đây là “người thật, việc thật, ảnh thật”.

Không biết các chuyên gia photoshop nghĩ gì về bức ảnh này? Riêng, dân amateur như tôi thoạt nhìn cũng biết đây là ảnh ghép, mà tay nghề của người ghép ảnh này còn “xanh và non” quá, chắc cần phải gửi đi học một khoá tu nghiệp để khỏi phải làm mất mặt các quan bề trên.

Báo Bắc Ninh Điện Tử sau đó đã gỡ bỏ bức hình này do bị dư luận chỉ trích quá nhiều.

Amy Truc Tran"
23,"CÒNG TAY BẮT BÉ HỌC SINH 13 TUỔI - KẺ GIẾT 2 MẠNG NGƯỜI ĐI HIÊN NGANG, TAY CẦM ĐIẾU XÌ GÀ (CIGAR)

Bé Quỳnh H. năm nay 13 tuổi, học lớp 7 tại TP Bà Rịa (tỉnh BR-VT, quê hương chị Võ Thị Sáu). Vào lúc 7 giờ sáng sớm hôm (9/5), khi bé H chuẩn bị đến trường để dự kỳ thi hết năm học thì lực lượng cưỡng chế hùng hậu cùng nhiều phương tiện hú còi inh ỏi đến chặn cổng nhà bé.

Mẹ bé vào nhà đổ xăng lên người đóng trái cửa cố thủ, bố bé cãi lý với biển người cùng tiếng còi hụ, còn bé và anh trai đứng nhìn ngơ ngác trong sợ hãi.

Bất ngờ, lực lượng Công an còng tay ba cha con bé H trước sự ngỡ ngàng của đông đảo người dân. Họ kéo 3 cha con bé lên xe rồi chở về trụ sở công an phường Phước Nguyên (TP Bà…"
24,NHÀ CÂM QUYỀN NGHỆ AN BAO CHE CHO ÔNG NGUYỄN THÁI TUẤN LỘNG HÀNH
25,"MỘT SỐ LINH MỤC XEM THIÊN CHỨC LÀ MỘT NGHỀ

#TNCG - Như thường lệ gần đến ngày bầu cử, các Linh mục trong Uỷ ban Đoàn Kết được cộng sản phong cho một cái nghề đó là “Nghề Linh Mục”

Thiên chức Linh mục đẹp đẽ làm sao, hạnh phúc nhường nào! Lẽ nào vì ham muốn vật chất trần thế, để chỉ đổi lấy bằng một nghề. Thế mà các vị vẫn niềm nở, tự hào và vui mừng vì được những kẻ vô thần trao ban.

Mặt Trận Tổ Quốc Việt Nam do đảng cộng sản Việt Nam lãnh đạo và điều hành, vậy mà các đấng bậc lại tranh nhau vào Uỷ ban Đoàn Kết. Một Uỷ ban được thành lập bởi cộng sản và được điều hành bởi cộng sản.

Vậy mà người quyền thần lại thích được và muốn được vô thần sai kiến."
26,"VỤ TAI NẠN KINH HOÀNG ĐÊM QUA TẠI TP BUÔN MA THUỘT

Tối qua, 11/5 tại đường tránh TP Buôn Ma Thuột một xe tải chở củi bị mất thắng đâm vào một xe ô tô con do một phụ nữ điều khiển từ đường nhánh ra, làm xe ô tô con bị nát, người phụ nữ tử vong khi vào bệnh viện. Sau khi húc xe ô tô con văng vào lề đường thì xe tải tiếp tục lao một đoạn tầm 400 mét và lật ngang ra đường.

Không ai có thể xác định được xe này chở quá tải mấy trăm phần trăm tải trọng cho phép của xe, nhưng lượng củi tươi đổ ra trên đường có thể thấy chiếc xe này chở cả một cánh rừng.

Tuy nhiên, điều đáng nói là trên đường QL 14 CSGT đứng rất nhiều chốt chặn nhưng xe tải này vẫn ung dung đi trên đường mà không bị giữ xe và xử lý.…"
27,"Khi Thành quyết làm CON NGƯỜI

Sau gần một tháng Thành bị bắt, Luật sư của Lê Chí Thành mới chính thức được cấp giấy người bào chữa cho Thành. Trước khi bị bắt mấy ngày, Thành đã đến tìm luật sư nhờ hỗ trợ tư vấn pháp lý.
Lê Chí Thành, một đại uý công an, một đảng viên cộng sản, sau khi nhận ra bộ mặt thật của lãnh đạo cơ quan Thành đã tố cáo và hiểu rằng, việc mình làm không khác gì lấy trứng chọi đá.

Thành bị bắt, không phải thành vi phạm bất cứ điều luật nào cả.
Người ta ghét Thành không phải vì Thành đi cà khịa cảnh sát giao thông, hay vì Thành rời bỏ hàng ngũ công an, Thành vứt thẻ đảng mặc dù không công khai, Thành ngày đêm đi cùng nhóm bạn quyên tiền làm thiện nguyện.

Người ta…"
28,"TRÒN 10 NĂM
CHA CÙNG CHỊU ĐÓNG ĐINH VÀO THẬP GIÁ VỚI ĐỨC KITÔ!

MỘT NGƯỜI CHA VĨ ĐẠI!
MỘT NGƯỜI THẦY THÔNG TUỆ!
MỘT MỤC TỬ NHÂN LÀNH!
MỘT NHÂN CÁCH LỖI LẠC!
MỘT TRI KỶ TÂM GIAO!

CHÚNG CON LUÔN HƯỚNG VỀ NGÀI!

St: Hoài Thạch Sơn."
29,"CHUYỆN CỦA MỘT ĐỨC GIÁM MỤC VỀ ""UB ĐOÀN KẾT CÔNG GIÁO""

Với tôi Đức Cha Micae Hoàng Đức Oanh là một mục tử dám đương đầu với sói dữ. Được gặp ngài nhiều lần, nghe thì còn nhiều hơn. Đây là câu chuyện mà thầy tôi Gioan Lê Quang Vinh ghi lại.

------

Chuyện về cái gọi là Uỷ ban Đoàn Kết Công Giáo hay Công Giáo yêu nước mà dân chúng thường gọi là đám quốc doanh cũng thú vị. Những người có quyền đến gặp ngài và đặt thẳng vấn đề rằng ở nhiều giáo phận đã có cái Uỷ ban này, nhưng trong giáo phận ngài thì không. Họ nói rằng nếu giáo phận tổ chức Uỷ ban ĐK này thì mỗi năm nhà nước sẽ chi cho hai tỷ đồng để tiêu dùng. Ngoài ra khi đi họp ở Hà nội thì các ông “yêu nước” sẽ được ở khách sạn năm sao, sẽ…"
30,"CÁCH KIẾM TIỀN “MỚI” CỦA CÔNG AN

Chuyện mới đây đã làm cho dư luận bức xúc, một số người lao động từ Nhật Bản trở về Việt Nam từ ngày 24/4/2021, đang bị cách ly tại khách sạn Top Hotel Hữu Nghị, Q.Nam Từ Liêm, Hà Nội) “kêu trời” vì phải chi trả 1,2 triệu đồng/người/ngày đối phòng đôi; 1,7 triệu đồng/người/ngày phòng đơn, trong khi dịch vụ lại không tương xứng.

Theo bản thông báo sử dụng dịch vụ, trong đó liệt kê hàng loạt dịch vụ như tiền phòng, tiền ăn, tiền giặt đồ, khử khuẩn khách sạn...
Điểm chú ý là có cả ‘phí’ cho cơ quan chức năng y tế, công an phòng chống dịch, an ninh trực.

Nhiều người cho rằng, những khoản chi phí liên quan đến cho cơ quan chức năng là không hợp lý, nhất là đối…"
31,"CHA GIOAN B. TRẦN QUANG TRUYỀN XUẤT VIỆN

Cha Gioan Baotixita Trần Quang Truyền và anh Gioakim Nguyễn Đức Tùng đã được xuất viện, vào lúc 11h30, ngày 10.5.2021.

Đức Cha Phêrô Trần Thanh Chung, Đức Cha Micae Hoàng Đức Oanh, các nguyên Giám Mục Giáo Phận Kontum đã tới thăm.

Tin& ảnh: Lm. An Thanh"
32,"LUẬN ĐIỆU QUY CHỤP LUẬT SƯ BA QUE, PHẢN ĐỘNG, KỊCH KHUNG

Rất nhiều người bức xúc nhắn tin inbox, alo với mong muốn tôi lên tiếng vì các nhóm lập ra công kích bảo tôi là Luật sư ba que, phản động, Hợp tác xã toàn thua, kịch khung. Những luận điệu xuyên tạc đưa ra vì cho rằng tôi là Luật sư bào chữa cho ông Lê Đình Kình, bà Nguyễn Ngọc Như Quỳnh (mẹ Nấm), và anh Gia Huy (Nghệ danh hài độc thoại Dưa Leo).

Thực ra tôi không bao giờ quan tâm hay để ý gì đến luận điệu này nhưng để cho rõ ràng một lần và tỏ lòng biết ơn những người đã quan tâm chứ không phải giải thích cho những luận điệu quy chụp. Tôi không phải và chưa từng bào chữa cho ông Lê Đình Kình hay mẹ Nấm. Đó là luật sư khác, những…"
33,"HIỀN MẪU CẤN THỊ THÊU

Hai mươi ngày sau khi Trịnh Bá Tư tuyệt thực trong tù, chị Cấn Thị Thêu mới biết tin. Chị khóc. Hai giọt nước mắt nhỏ xuống mà chị gọi đó là “hai giọt máu”. Câu chuyện được luật sư Lê Văn Luân kể lại trong lần anh vào tù gặp chị Thêu- thân chủ của mình trong vụ án được thế lực tà ác dựng lên với tên gọi “tuyên truyền chống nhà nước”. Tôi ám ảnh mãi về câu chuyện Người Mẹ này. Lúc nghe tin Trịnh Bá Phương bị đưa từ nhà tù đến trại tâm thần, tôi rùng mình. Lạ thật, người đầu tiên tôi nghĩ đến khi ấy, không phải Phương, mà là chị Thêu. Tôi xót xa với câu hỏi cứ quẩn quanh trong đầu: “nếu chị Thêu biết chuyện, chị có chịu đựng nổi không?” Tôi bần thần suốt mấy ngày đó, đôi… More"
34,"ĐÂY LÀ HOÀNG GOGO TV, XIN ĐƯỢC KỂ CÂU CHUYỆN HẦU MỌI NGƯỜI

Bạn đến với chúng tôi vào một buổi sáng sau kỳ nghỉ lễ kéo dài, lúc ánh bình mình đã rực sáng trên bầu trời Sài Gòn. Cùng đi theo có một người bạn trẻ, cảm nhận đầu tiên của các luật sư lúc mới gặp là bạn toát lên nét trong sáng, chân thành nhưng khuôn mặt không giấu được sự mệt mỏi. Bạn tâm sự về mình, về lý do tại sao chọn xe VinFast mà không phải là một chiếc xe đến từ Nhật hay Hàn dù với số tiền đó dư sức có nhiều lựa chọn tốt hơn.

Bạn chia sẻ “em nói điều này luật sư đừng cười, em thích xe ô tô từ nhỏ, thấy quảng cáo và nhiều người nói người Việt nên ủng hộ hàng Việt, với tuổi trẻ như em đó là niềm hãnh diện và tự hào. Thế nên,…"
35,"ỦY BAN ĐOÀN KẾT CHỐNG PHÁ PHONG 117 THÁNH TỬ ĐẠO VIỆT NAM

Trong vụ phong Thánh, Tòa Thánh đã thực hiện một cách hết sức nghiêm túc các qui trình đã được Bộ phong Thánh qui định, chứ không phải là một sáng kiến mới của Tòa Thánh nhằm chống lại chế độ cộng sản Việt Nam như ông Nguyễn Quang Huy, Trưởng ban Tôn giáo Chính phủ thời đó, đã nói trong một Văn thư gửi Hội đồng Giám mục Việt Nam:

1. Trước hết, Thánh bộ phong Thánh của Giáo hội đã chấp nhận các Thỉnh Nguyện thư xin phong Thánh cho 117 Thánh Tử Đạo Việt Nam: Thỉnh Nguyện thư của Hội đồng Giám mục Việt Nam (16/11/1985), của Dòng Đaminh (28/12/1985), của Hội Thừa sai Paris (2/2/1986), của Hội đồng Giám mục Phi (13/5/1986) và của Hội đồng…"
36,#TNCG - SỐ CA COVID 19 LÂY NHIỄM CỘNG ĐỒNG TỪ NGÀY 29.04 ĐẾN SÁNG 09.05.2021 TẠI VIỆT NAM
